"NUMEROPROCESSO","ANOPROCESSO","NUMEROMODALIDADE","LICITANTES","LICITANTES_VENCEDORES","NOMENATUREZA","NOMEMODALIDADE","SITUACAOLICITACAO","ESTAGIOLICITACAO","DATAPUBLICACAOHOMOLOGACAO","DATAEMISSAOEDITAL","DATAPUBLICACAOHABILITACAO","TOTALADJUDICADOLICITACAO","VALORESTIMADO","UNIDADEGESTORA","UNIDADE_GESTORA","DESCRICAOOBJETO","ESPECIFICACAOOBJETO","CARACTERISTICAOBJETO","ULTIMAATUALIZACAO","OBJETO"
"139","2022","93","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","09/01/2023","","","193899.31","1","","APARELHOS, EQUIPAMENTOS MÉDICO-ODONTOLÓGICOS, HOSPITALARES E LABORATORIAIS  ","QUALQUER APARELHO, UTENSÍLIO OU EQUIPAMENTO DE USO MÉDICO, ODONTOLÓGICO, LABORATORIAL E HOSPITALAR QUE NÃO SE INTEGREM A INSTALAÇÕES, OU A OUTROS CONJUNTOS MONITORES. NO CASO DE FAZEREM PARTE DE INSTALAÇÕES OU OUTROS CONJUNTOS, DEVERÃO SER CONSIDERADOS COMPONENTES, TAIS COMO:AFASTADOR, ALARGADOR, APARELHO DE ESTERILIZAÇÃO, APARELHO DE RAIO X, APARELHO DE TRANSFUSÃO DE SANGUE, APARELHO INFRAVERMELHO, APARELHO PARA INALAÇÃO, APARELHO DE ULTRAVIOLETA, BALANÇA PEDIÁTRICA, BERÇO AQUECIDO, BIOMBO, BOTICÃO, CADEIRA DE DENTISTA, CADEIRA DE RODAS, CÂMARA DE INFRAVERMELHO, CÂMARA DE OXIGÊNIO, CÂMARA DE RADIOTERAPIA, CARRO-MACA, CENTRIFUGADOR, DESTILADOR, ELETRO-ANALISADOR, ELETROCARDIOGRÁFICO, ESTETOSCÓPIO, ESTUFA, MACA, MEDIDOR DE PRESSÃO ARTERIAL (ESFIGNOMANÔMETRO), MEGATOSCÓPIO, MESA PARA EXAMES CLÍNICOS, MICROSCÓPIO, TENDA DE OXIGÊNIO, TERMOCAUTÉRIO E AFINS.","Por Itens","06/01/2023","O objeto da presente licitação é a registro de preços para aquisição de materiais e equipamentos para a sala de Partos, do Hospital Júlio Alves de Lira- HJAL- da Secretaria Municipal de Saúde nas quantidades e exigências estabelecidas neste Edital e seus anexos."
"135","2022","91","CERTAM - CENTRO REGIONAL DE TREINAMENTO EM ADMINISTRAÇÃO MUNICIPAL LTDA: 04557318000129 - Não Vencedor; 3IT CONSULTORIA LTDA.: 11250881000115 - Vencedor; ","3IT CONSULTORIA LTDA.: 11250881000115; ","Outros Serviços","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","16/01/2023","07/12/2021","16/01/2023","161671","269435.58","1","","CONSULTORIA","ABRANGE A ELABORAÇÃO DE ESTUDOS, PROJETOS, ORIENTAÇÃO TÉCNICA, FISCALIZAÇÃO, LAUDOS, AVALIAÇÕES, PERÍCIAS E AFINS.","Por Itens","08/12/2022","Contratação de empresa especializada para realização de um Censo Previdenciário com digitalização e armazenamento dos dados cadastrais, funcionais e financeiros dos servidores efetivos ativos, inativos, pensionistas e dependentes que tem sua vinculação previdenciária junto ao INSTITUTO DE PREVIDENCIA DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE BELO JARDIM, para a construção de um banco de dados para o Cadastro Nacional de Informações Sociais de Regime Próprio de Previdência Social - CNIS - RPPS, conforme especificações e quantitativos estabelecidos no Termo de Referência."
"133","2022","89","BARBOSA GALVÃO OXIGÊNIO TRANSPORTE E SERVIÇOS  LTDA-ME: 08181188000123 - Vencedor; G J GASES E EQUIPAMENTOS LTDA: 24081134000142 - Não Vencedor; LAUDENOR BORBA DE CARVALHO COMERCIO DE GASES MEDICINAIS: 33822265000124 - Não Vencedor; ARCOVERDE OXIGENIO LTDA: 39647293000139 - Não Vencedor; SILTON OXIGENIO INDUSTRIAL & MEDICINAL EIRELI: 41068263000209 - Não Vencedor; IBG INDÚSTRIA BRASILEIRA DE GASES LTDA: 67423152000178 - Não Vencedor; ","BARBOSA GALVÃO OXIGÊNIO TRANSPORTE E SERVIÇOS  LTDA-ME: 08181188000123; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","16/01/2023","21/12/2022","16/01/2023","448600","668337.35","1","","FORNECIMENTO DE OXIGÊNIO MEDICINAL","FORNECIMENTO DE OXIGÊNIO GASOSO ENVAZADO EM CILINDROS.","Por Lotes","22/12/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de oxigênio gasoso medicinal, para atender a necessidade do Hospital Júlio Alves de Lira da Secretaria de Saúde do Município de Belo Jardim-PE, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"132","2022","88","CONSTRANSIN INDÚSTRIA E COMÉRCIO LTDA: 00390052000111 - Não Vencedor; NEWTEC PRODUTOS INTELIGENTES LTDA: 02705910000103 - Não Vencedor; SINALVIDA DISPOSITIVOS SEGURANÇA VIARIA LTDA: 04523923000189 - Vencedor; S N SINALIZADORA NACIONAL E SERVIÇOS LTDA: 08439201000100 - Não Vencedor; ","SINALVIDA DISPOSITIVOS SEGURANÇA VIARIA LTDA: 04523923000189; ","Outros Serviços","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","25/01/2023","21/12/2022","25/01/2023","355761.22","555637.69","1","","MATERIAL DE SINALIZAÇÃO URBANA OU RODOVIÁRIA","MATERIAIS PARA  SINALIZAÇÃO DE VIASURBANAS E  RODOVIÁRIAS, TAIS COMO: PLACAS, BALIZAMENTOS, CAVALETES, BÓIAS LUMINOSAS, TINTAS DE DEMARCAÇÃO, FITAS, LENTES LANTERNAS, BANDEIRAS, CONES, DETECTORES ELETROMAGNÉTICOS, SEMÁFOROS  E AFINS.","Por Lotes","22/12/2022","O objeto da presente licitação é a contratação de empresa especializada para prestação de serviços de modernização, implantação e manutenção de sinalização semafórica, visando atender as necessidades da Secretaria de Defesa Cidadã, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"129","2022","85","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","28/11/2022","","","3007811.49","1","","GÊNEROS ALIMENTÍCIOS","GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.","Por Itens","02/12/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de hortifrutigranjeiro para suprir as necessidades da Secretaria de Educação e Tecnologia referente à alimentação escolar do município de Belo Jardim conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"128","2022","84","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","30/11/2022","","","6401496.5","1","","GÊNEROS ALIMENTÍCIOS","GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.","Por Itens","02/12/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de gêneros alimentícios para suprir as necessidades da Secretaria de Educação e Tecnologia referente à alimentação escolar do município de Belo Jardim conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"127","2022","83","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","23/11/2022","","","149139","1","","PEÇAS DE INFORMÁTICA","AQUISIÇÃO DE PEÇAS OU ACESSÓRIOS DE INFORMÁTICA, TAIS COMO: MOUSES, PENTES DE MEMÓRIA, CABOS LÓGICOS, TECLADO, PLACAS, PROCESSADOR, DISCO RÍGIDO, CANETA ÓTICA, CAIXA DE SOM, WEBCAM, HEADSET, ETC.","Por Itens","24/11/2022"," O objeto da presente licitação é o registro de preços para eventual aquisição de material de informática visando atender as demandas da Secretaria de Educação e Tecnologia conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"125","2022","81","","","Compras","Pregão Eletrônico","Processo Suspenso por Decisão Administrativa","Edital Publicado","","30/11/2022","","","333810.1","1","","PRAÇA, PARQUES E JARDINS","ÁREA URBANA ARBORIZADA E/OU AJARDINADA DESTINADA AO DESCANSO E LAZER","Por Itens","02/12/2022"," O objeto da presente licitação é o registro de preços para eventual aquisição de material recreativo para praças, atendendo a necessidade Secretaria de Obras e demais Secretarias participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"124","2022","80","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","10/11/2022","","","263348.32","1","","MATERIAL PARA INSTALAÇÃO ELÉTRICA E ELETRÔNICA","MATERIAIS DE CONSUMO PARA APLICAÇÃO, MANUTENÇÃO E REPOSIÇÃO DOS SISTEMAS, APARELHOS E EQUIPAMENTOS ELÉTRICOS E ELETRÔNICOS, TAIS COMO:BENJAMINS, BOCAIS, CALHAS, CAPACITORES E RESISTORES, CHAVES DE LIGAÇÃO, CIRCUITOS ELETRÔNICOS, CONDUTORES, COMPONENTES DE APARELHO ELETRÔNICO, DIODOS, DISJUNTORES, ELETRODOS, ELIMINADOR DE PILHAS, ESPELHOS PARA INTERRUPTORES, FIOS E CABOS, FITA ISOLANTE, FUSÍVEIS, INTERRUPTORES, LÂMPADAS E LUMINÁRIAS, PILHAS E BATERIAS, PINOS E PLUGS, PLACAS DE BAQUELITE, REATORES, RECEPTÁCULOS, RESISTÊNCIAS, STARTS, SUPORTES, TOMADA DE CORRENTE E AFINS.","Por Itens","25/11/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de material para elétrica e reformas para revitalização e manutenção de praças, atendendo a necessidade Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"122","2022","77","ANTONIO FELIX DA SILVA CONSTRUCAO-ME: 11839297000108 - Não Vencedor; DIPAR FERRAGENS EIRELI ME: 16868674000142 - Não Vencedor; LG COMÉRCIO E SERVIÇO DE FORRO E DIVISÓRIAS LTDA - ME: 20626934000140 - Não Vencedor; AVANTE EMPREENDIMENTOS, COMERCIO E SERVICOS LTDA: 34170518000195 - Não Vencedor; TORRES & SIQUEIRA LTDA: 46862062000103 - Vencedor; ","TORRES & SIQUEIRA LTDA: 46862062000103; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","07/12/2022","01/11/2022","07/12/2022","610400","695180","1","","VIA URBANA - REVESTIMENTO EM BLOCOS DE CONCRETO INTERTRAVADOS","VIA URBANA DESTINADA AO TRÁFEGO DE VEÍCULOS AUTÔNOMOS QUE SE DESLOCAM SOBRE RODAS - ENQUADRAR NESTE CASO QUANDO O REVESTIMENTO FOR EM BLOCOS DE CONCRETO INTERTRAVADOS","Por Itens","29/11/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de material para calçamento atendendo a necessidade Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"121","2022","76","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","28/10/2022","","","460027.04","1","","MATERIAL MÉDICO-HOSPITALAR, ODONTOLÓGICO E LABORATORIAL","MATERIAIS PARA HOSPITAIS, CLÍNICAS, CONSULTÓRIOS ODONTOLÓGICOS E LABORATÓRIOS: ABAIXADORES DE LÍNGUA, AGULHAS HIPODÉRMICAS, ALGODÃO, ESPARADRAPOS, GASES, SERINGAS, SACOS PARA GELO, TERMÔMETROS, FIOS DE SUTURAS,  LUVAS CIRÚRGICAS,  MATERIAIS PENSO EM GERAL , AGULHAS, AMÁLGAMA, ANESTÉSICOS, BROCA, CIMENTO ODONTOLÓGICO, ESPÁTULA ODONTOLÓGICA, FILMES PARA RAIOS-X, PLATINA, SERINGAS, SUGADOR E AFINS. ","Por Itens","01/11/2022","O objeto da presente licitação é o registro de preços para eventual Aquisição de Insumos laboratoriais visando atender as demandas do Laboratório do Hospital Júlio Alves de Lira, órgão ligado à Secretaria de Saúde, durante o período de 12 meses, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"120","2022","75","","","Serviços de Engenharia","Pregão Eletrônico","Em Andamento","Processo Instaurado","","14/11/2022","","","0","1","","OBRAS","OBRAS","Por Lotes","13/12/2022","O objeto da presente licitação é a reforma da creche Vovó Maria, conforme condições quantidades e exigências estabelecidas, conforme anexos deste Instrumento Convocatório e seus anexos."
